id_orcamento,id_centro,id_conta,mes,valor_orcado
ORC000001,CC01,310001,2023-12-01,21883100.0
ORC000002,CC01,310001,2024-01-01,23047900.0
ORC000003,CC01,310001,2024-02-01,23367600.0
ORC000004,CC01,310001,2024-03-01,25643500.0
ORC000005,CC01,310001,2024-04-01,27322300.0
ORC000006,CC01,310001,2024-05-01,29460500.0
ORC000007,CC01,310001,2024-06-01,29440100.0
ORC000008,CC01,310001,2024-07-01,29842600.0
ORC000009,CC01,310001,2024-08-01,28189500.0
ORC000010,CC01,310001,2024-09-01,26443400.0
ORC000011,CC01,310001,2024-10-01,25191100.0
ORC000012,CC01,310001,2024-11-01,24401300.0
ORC000013,CC01,310001,2024-12-01,23559600.0
ORC000014,CC01,310001,2025-01-01,24674400.0
ORC000015,CC01,310001,2025-02-01,25871600.0
ORC000016,CC01,310001,2025-03-01,27530900.0
ORC000017,CC01,310001,2025-04-01,28850800.0
ORC000018,CC01,310001,2025-05-01,30504900.0
ORC000019,CC01,310001,2025-06-01,31194700.0
ORC000020,CC01,310001,2025-07-01,31234700.0
ORC000021,CC01,310001,2025-08-01,29829300.0
ORC000022,CC01,310001,2025-09-01,28603800.0
ORC000023,CC01,310001,2025-10-01,26821300.0
ORC000024,CC01,310001,2025-11-01,26550100.0
ORC000025,CC01,310001,2025-12-01,25855200.0
ORC000026,CC01,310001,2026-01-01,26090700.0
ORC000027,CC01,310001,2026-02-01,28329300.0
ORC000028,CC01,310001,2026-03-01,29164000.0
ORC000029,CC01,310001,2026-04-01,31768300.0
ORC000030,CC01,310001,2026-05-01,33170800.0
ORC000031,CC01,310001,2026-06-01,33289500.0
ORC000032,CC01,310001,2026-07-01,33708400.0
ORC000033,CC01,310001,2026-08-01,31580200.0
ORC000034,CC01,310001,2026-09-01,30852800.0
ORC000035,CC01,310001,2026-10-01,28450100.0
ORC000036,CC01,310001,2026-11-01,26774600.0
ORC000037,CC02,310001,2023-12-01,19243800.0
ORC000038,CC02,310001,2024-01-01,19162300.0
ORC000039,CC02,310001,2024-02-01,20550100.0
ORC000040,CC02,310001,2024-03-01,21663700.0
ORC000041,CC02,310001,2024-04-01,23402900.0
ORC000042,CC02,310001,2024-05-01,24922000.0
ORC000043,CC02,310001,2024-06-01,25382300.0
ORC000044,CC02,310001,2024-07-01,26212500.0
ORC000045,CC02,310001,2024-08-01,24507000.0
ORC000046,CC02,310001,2024-09-01,23389400.0
