id_leitura,id_ativo,data_hora,temperatura,vibracao,pressao,rpm
LE0000001,ATV001,2026-03-25 00:00:00,58.2,3.61,5.23,1418
LE0000002,ATV001,2026-03-25 03:00:00,54.8,2.9,5.41,1457
LE0000003,ATV001,2026-03-25 06:00:00,53.7,3.03,5.06,1464
LE0000004,ATV001,2026-03-25 09:00:00,54.2,3.76,4.55,1483
LE0000005,ATV001,2026-03-25 12:00:00,52.3,3.56,5.14,1496
LE0000006,ATV001,2026-03-25 15:00:00,54.6,3.44,4.77,1421
LE0000007,ATV001,2026-03-25 18:00:00,59.9,3.51,4.81,1426
LE0000008,ATV001,2026-03-25 21:00:00,59.6,3.62,5.21,1414
LE0000009,ATV001,2026-03-26 00:00:00,56.6,3.31,5.43,1443
LE0000010,ATV001,2026-03-26 03:00:00,55.9,3.23,5.01,1464
LE0000011,ATV001,2026-03-26 06:00:00,51.9,3.57,5.11,1479
LE0000012,ATV001,2026-03-26 09:00:00,50.9,3.16,5.6,1448
LE0000013,ATV001,2026-03-26 12:00:00,53.1,3.64,5.08,1441
LE0000014,ATV001,2026-03-26 15:00:00,51.8,2.9,5.91,1454
LE0000015,ATV001,2026-03-26 18:00:00,54.5,3.86,5.2,1426
LE0000016,ATV001,2026-03-26 21:00:00,57.4,3.67,4.38,1511
LE0000017,ATV001,2026-03-27 00:00:00,55.7,3.59,5.26,1403
LE0000018,ATV001,2026-03-27 03:00:00,55.5,3.84,5.13,1455
LE0000019,ATV001,2026-03-27 06:00:00,51.2,4.08,5.45,1509
LE0000020,ATV001,2026-03-27 09:00:00,49.4,3.86,5.24,1450
LE0000021,ATV001,2026-03-27 12:00:00,55.1,2.86,4.95,1444
LE0000022,ATV001,2026-03-27 15:00:00,54.6,3.05,4.57,1440
LE0000023,ATV001,2026-03-27 18:00:00,57.4,3.28,4.93,1445
LE0000024,ATV001,2026-03-27 21:00:00,55.9,3.51,4.7,1490
LE0000025,ATV001,2026-03-28 00:00:00,56.4,3.68,4.8,1386
LE0000026,ATV001,2026-03-28 03:00:00,55.2,3.25,5.21,1494
LE0000027,ATV001,2026-03-28 06:00:00,50.8,3.57,5.58,1409
LE0000028,ATV001,2026-03-28 09:00:00,52.3,3.24,5.14,1442
LE0000029,ATV001,2026-03-28 12:00:00,51.7,3.29,4.58,1438
LE0000030,ATV001,2026-03-28 15:00:00,54.5,3.01,5.16,1467
LE0000031,ATV001,2026-03-28 18:00:00,56.3,3.18,5.42,1404
LE0000032,ATV001,2026-03-28 21:00:00,61.4,3.03,4.79,1463
LE0000033,ATV001,2026-03-29 00:00:00,57.3,3.16,4.95,1509
LE0000034,ATV001,2026-03-29 03:00:00,53.3,3.87,5.01,1410
LE0000035,ATV001,2026-03-29 06:00:00,54.0,3.17,4.73,1456
LE0000036,ATV001,2026-03-29 09:00:00,49.7,4.42,5.23,1431
LE0000037,ATV001,2026-03-29 12:00:00,53.0,3.67,4.96,1462
LE0000038,ATV001,2026-03-29 15:00:00,51.8,3.56,5.15,1451
LE0000039,ATV001,2026-03-29 18:00:00,55.1,3.2,4.69,1431
LE0000040,ATV001,2026-03-29 21:00:00,58.6,3.75,4.85,1464
LE0000041,ATV001,2026-03-30 00:00:00,58.6,3.3,5.25,1502
LE0000042,ATV001,2026-03-30 03:00:00,55.3,3.54,4.87,1444
LE0000043,ATV001,2026-03-30 06:00:00,52.5,4.4,5.6,1471
LE0000044,ATV001,2026-03-30 09:00:00,51.2,3.47,4.86,1412
LE0000045,ATV001,2026-03-30 12:00:00,50.2,3.9,5.08,1422
LE0000046,ATV001,2026-03-30 15:00:00,53.8,3.25,5.33,1464
LE0000047,ATV001,2026-03-30 18:00:00,56.6,3.49,4.5,1493
LE0000048,ATV001,2026-03-30 21:00:00,60.0,4.12,4.38,1460
LE0000049,ATV001,2026-03-31 00:00:00,57.9,3.28,4.47,1441
LE0000050,ATV001,2026-03-31 03:00:00,52.1,4.13,5.44,1450
LE0000051,ATV001,2026-03-31 06:00:00,53.2,3.75,4.81,1414
LE0000052,ATV001,2026-03-31 09:00:00,51.1,3.3,5.9,1468
LE0000053,ATV001,2026-03-31 12:00:00,51.5,3.72,4.8,1476
LE0000054,ATV001,2026-03-31 15:00:00,56.0,3.84,5.06,1437
LE0000055,ATV001,2026-03-31 18:00:00,59.0,3.72,5.54,1436
LE0000056,ATV001,2026-03-31 21:00:00,59.8,2.95,5.7,1458
LE0000057,ATV001,2026-04-01 00:00:00,55.9,3.25,5.72,1437
LE0000058,ATV001,2026-04-01 03:00:00,54.5,3.41,5.42,1448
LE0000059,ATV001,2026-04-01 06:00:00,53.2,3.47,5.36,1511
LE0000060,ATV001,2026-04-01 09:00:00,53.3,3.72,5.21,1443
LE0000061,ATV001,2026-04-01 12:00:00,51.9,3.56,5.27,1440
LE0000062,ATV001,2026-04-01 15:00:00,54.7,3.03,4.81,1431
LE0000063,ATV001,2026-04-01 18:00:00,55.5,3.63,4.71,1472
LE0000064,ATV001,2026-04-01 21:00:00,56.3,3.71,5.0,1445
LE0000065,ATV001,2026-04-02 00:00:00,58.7,3.7,4.94,1431
LE0000066,ATV001,2026-04-02 03:00:00,57.2,3.88,4.84,1488
LE0000067,ATV001,2026-04-02 06:00:00,52.5,3.79,5.24,1491
LE0000068,ATV001,2026-04-02 09:00:00,53.4,3.66,5.33,1433
LE0000069,ATV001,2026-04-02 12:00:00,53.3,3.48,5.03,1396
LE0000070,ATV001,2026-04-02 15:00:00,53.9,2.92,5.52,1479
LE0000071,ATV001,2026-04-02 18:00:00,57.9,3.65,4.6,1430
LE0000072,ATV001,2026-04-02 21:00:00,60.8,3.57,4.93,1473
LE0000073,ATV001,2026-04-03 00:00:00,57.3,3.6,4.75,1393
LE0000074,ATV001,2026-04-03 03:00:00,57.6,3.05,4.35,1476
LE0000075,ATV001,2026-04-03 06:00:00,48.3,3.12,4.97,1415
LE0000076,ATV001,2026-04-03 09:00:00,53.1,3.87,4.96,1471
LE0000077,ATV001,2026-04-03 12:00:00,52.8,3.49,5.53,1450
LE0000078,ATV001,2026-04-03 15:00:00,54.5,3.74,5.22,1422
LE0000079,ATV001,2026-04-03 18:00:00,57.5,3.51,4.64,1438
LE0000080,ATV001,2026-04-03 21:00:00,55.0,3.51,5.65,1470
LE0000081,ATV001,2026-04-04 00:00:00,57.0,3.83,5.43,1453
LE0000082,ATV001,2026-04-04 03:00:00,55.6,3.32,5.2,1467
LE0000083,ATV001,2026-04-04 06:00:00,55.1,3.53,4.92,1507
LE0000084,ATV001,2026-04-04 09:00:00,50.8,3.34,4.66,1405
LE0000085,ATV001,2026-04-04 12:00:00,51.3,3.35,4.87,1497
LE0000086,ATV001,2026-04-04 15:00:00,54.2,3.39,5.38,1453
LE0000087,ATV001,2026-04-04 18:00:00,58.8,3.58,5.66,1424
LE0000088,ATV001,2026-04-04 21:00:00,58.8,3.33,5.54,1411
LE0000089,ATV001,2026-04-05 00:00:00,56.5,3.94,4.83,1445
LE0000090,ATV001,2026-04-05 03:00:00,55.8,3.19,4.61,1477
LE0000091,ATV001,2026-04-05 06:00:00,52.8,3.43,5.05,1446
LE0000092,ATV001,2026-04-05 09:00:00,53.3,3.35,4.38,1494
LE0000093,ATV001,2026-04-05 12:00:00,51.5,4.01,5.11,1408
LE0000094,ATV001,2026-04-05 15:00:00,54.5,3.57,4.95,1450
LE0000095,ATV001,2026-04-05 18:00:00,56.7,3.86,4.84,1414
LE0000096,ATV001,2026-04-05 21:00:00,55.9,2.98,4.44,1461
LE0000097,ATV001,2026-04-06 00:00:00,57.8,3.59,5.18,1476
LE0000098,ATV001,2026-04-06 03:00:00,55.4,3.81,4.81,1438
LE0000099,ATV001,2026-04-06 06:00:00,52.7,3.53,4.59,1374
LE0000100,ATV001,2026-04-06 09:00:00,51.3,3.87,3.99,1456
LE0000101,ATV001,2026-04-06 12:00:00,50.3,3.32,4.99,1463
LE0000102,ATV001,2026-04-06 15:00:00,54.3,3.99,5.62,1462
LE0000103,ATV001,2026-04-06 18:00:00,56.8,4.3,5.58,1486
LE0000104,ATV001,2026-04-06 21:00:00,57.0,3.37,4.84,1419
LE0000105,ATV001,2026-04-07 00:00:00,57.1,3.34,4.79,1470
LE0000106,ATV001,2026-04-07 03:00:00,55.7,4.01,5.16,1485
LE0000107,ATV001,2026-04-07 06:00:00,55.8,4.05,4.65,1398
LE0000108,ATV001,2026-04-07 09:00:00,52.0,3.32,5.11,1459
LE0000109,ATV001,2026-04-07 12:00:00,53.1,3.35,5.27,1435
LE0000110,ATV001,2026-04-07 15:00:00,54.9,3.4,5.43,1448
LE0000111,ATV001,2026-04-07 18:00:00,54.2,3.03,4.96,1460
LE0000112,ATV001,2026-04-07 21:00:00,58.3,3.18,4.93,1436
LE0000113,ATV001,2026-04-08 00:00:00,57.4,3.15,4.69,1430
LE0000114,ATV001,2026-04-08 03:00:00,59.1,3.23,4.71,1451
LE0000115,ATV001,2026-04-08 06:00:00,52.3,3.49,4.92,1418
LE0000116,ATV001,2026-04-08 09:00:00,52.2,3.58,5.13,1419
LE0000117,ATV001,2026-04-08 12:00:00,52.6,4.04,5.32,1470
LE0000118,ATV001,2026-04-08 15:00:00,53.1,3.15,4.72,1417
