id_leitura,id_ativo,data_hora,temperatura,vibracao,pressao,rpm
LE0000241,ATV001,2026-04-24 00:00:00,56.0,3.72,5.14,1429
LE0000242,ATV001,2026-04-24 03:00:00,54.8,3.97,4.99,1455
LE0000243,ATV001,2026-04-24 06:00:00,53.5,3.57,4.68,1434
LE0000244,ATV001,2026-04-24 09:00:00,53.1,3.75,5.11,1442
LE0000245,ATV001,2026-04-24 12:00:00,50.7,3.47,4.59,1499
LE0000246,ATV001,2026-04-24 15:00:00,54.4,4.0,5.42,1489
LE0000247,ATV001,2026-04-24 18:00:00,56.5,3.26,4.84,1412
LE0000248,ATV001,2026-04-24 21:00:00,57.2,4.13,5.07,1474
LE0000249,ATV001,2026-04-25 00:00:00,60.2,3.49,5.1,1474
LE0000250,ATV001,2026-04-25 03:00:00,55.7,3.0,4.91,1417
LE0000251,ATV001,2026-04-25 06:00:00,50.6,3.54,5.21,1474
LE0000252,ATV001,2026-04-25 09:00:00,53.2,3.26,4.83,1495
LE0000253,ATV001,2026-04-25 12:00:00,56.2,3.79,5.3,1417
LE0000254,ATV001,2026-04-25 15:00:00,56.7,3.27,4.53,1423
LE0000255,ATV001,2026-04-25 18:00:00,54.8,3.34,5.04,1480
LE0000256,ATV001,2026-04-25 21:00:00,57.5,2.84,5.68,1458
LE0000257,ATV001,2026-04-26 00:00:00,59.4,3.34,4.65,1466
LE0000258,ATV001,2026-04-26 03:00:00,53.8,2.65,4.76,1460
LE0000259,ATV001,2026-04-26 06:00:00,53.4,2.95,5.18,1461
LE0000260,ATV001,2026-04-26 09:00:00,53.0,3.77,5.06,1412
LE0000261,ATV001,2026-04-26 12:00:00,51.1,3.78,5.12,1480
LE0000262,ATV001,2026-04-26 15:00:00,54.9,3.65,5.17,1484
LE0000263,ATV001,2026-04-26 18:00:00,52.0,3.16,5.22,1443
LE0000264,ATV001,2026-04-26 21:00:00,56.6,3.48,5.39,1449
LE0000265,ATV001,2026-04-27 00:00:00,56.9,3.5,5.14,1406
LE0000266,ATV001,2026-04-27 03:00:00,52.9,3.09,4.92,1465
LE0000267,ATV001,2026-04-27 06:00:00,55.4,4.03,5.24,1467
LE0000268,ATV001,2026-04-27 09:00:00,49.3,3.81,5.66,1448
LE0000269,ATV001,2026-04-27 12:00:00,51.9,3.42,4.95,1483
LE0000270,ATV001,2026-04-27 15:00:00,55.2,3.51,4.66,1440
LE0000271,ATV001,2026-04-27 18:00:00,59.7,3.57,5.39,1466
LE0000272,ATV001,2026-04-27 21:00:00,55.9,2.79,4.96,1420
LE0000273,ATV001,2026-04-28 00:00:00,59.3,3.41,4.24,1449
LE0000274,ATV001,2026-04-28 03:00:00,55.0,3.26,5.3,1445
LE0000275,ATV001,2026-04-28 06:00:00,51.0,3.15,4.81,1457
LE0000276,ATV001,2026-04-28 09:00:00,52.5,3.4,4.97,1439
LE0000277,ATV001,2026-04-28 12:00:00,53.0,4.13,5.12,1446
LE0000278,ATV001,2026-04-28 15:00:00,54.0,3.72,5.07,1474
LE0000279,ATV001,2026-04-28 18:00:00,57.4,3.3,5.25,1437
LE0000280,ATV001,2026-04-28 21:00:00,57.7,3.7,4.85,1403
LE0000281,ATV001,2026-04-29 00:00:00,57.5,3.99,5.18,1501
LE0000282,ATV001,2026-04-29 03:00:00,56.1,3.82,4.91,1490
LE0000283,ATV001,2026-04-29 06:00:00,55.3,3.52,5.26,1413
LE0000284,ATV001,2026-04-29 09:00:00,49.7,3.27,5.22,1470
